"State","PercentHighSchoolOrHigher","PercentBachelorsOrHigher"
"Montana","93.6000","32"
"Wyoming","93.2000","27.4000"
"New Hampshire","93.1000","37"
"Minnesota","93.1000","36.1000"
"Alaska","92.8000","29.6000"
"Vermont","92.7000","38"
"North Dakota","92.6000","30"
"Maine","92.6000","31.8000"
"Utah","92.3000","34"
"Wisconsin","92.2000","30.1000"
"Iowa","92.1000","28.6000"
"Hawaii","92","33"
"South Dakota","91.7000","28.8000"
"Colorado","91.7000","40.9000"
"Nebraska","91.4000","31.9000"
"Washington","91.3000","36"
"Kansas","91","33.4000"
"Michigan","90.8000","29.1000"
"Massachusetts","90.8000","43.7000"
"Idaho","90.8000","27.6000"
"Oregon","90.7000","33.7000"
"Connecticut","90.6000","39.3000"
"Pennsylvania","90.5000","31.4000"
"Ohio","90.4000","28.3000"
"Maryland","90.2000","40.2000"
"Delaware","90","32"
"Missouri","89.9000","29.2000"
"New Jersey","89.8000","39.7000"
"Virginia","89.7000","38.8000"
"Illinois","89.2000","34.7000"
"Rhode Island","88.8000","34.2000"
"Indiana","88.8000","26.5000"
"Florida","88.2000","29.9000"
"Oklahoma","88","25.5000"
"North Carolina","87.8000","31.3000"
"Tennessee","87.5000","27.3000"
"South Carolina","87.5000","28.1000"
"Georgia","87.1000","31.3000"
"Arizona","87.1000","29.5000"
"West Virginia","86.9000","20.6000"
"New York","86.8000","36.6000"
"Nevada","86.7000","24.7000"
"Arkansas","86.6000","23"
"Kentucky","86.3000","24.2000"
"Alabama","86.2000","25.5000"
"New Mexico","85.6000","27.3000"
"Louisiana","85.2000","24.1000"
"Mississippi","84.5000","22"
"Texas","83.7000","29.9000"
"California","83.3000","33.9000"